Name;A;B;C;D;E;F;median dnds;annotation;pvalA;pvalB;pvalC;pvalD;pvalE;pvalF;medianPval;pvalAD;pvalBE;pvalCF;Role;go;go_link;mean_js;mean_jsA;mean_jsB;mean_jsC;mean_jsD;mean_jsE;mean_jsF;mean_gapA;mean_gapB;mean_gapC;mean_gapD;mean_gapE;mean_gapF;mean_repA;mean_repB;mean_repC;mean_repD;mean_repE;mean_repF;dnds_gap_correctedA;dnds_gap_correctedB;dnds_gap_correctedC;dnds_gap_correctedD;dnds_gap_correctedE;dnds_gap_correctedF;abA;abB;abC;abD;abE;abF;top_abundant;isSignificant;meanRep;meanPval
TIGR00001;1.201537148;1.586481113;1.47935368;1.199161426;1.128865979;1.215608466;1.208572807;rpmI_bact: ribosomal protein L35;1;0.127687705;0.916658033;1;1;1;;1;0.325847011;0.80114739;158;GO:0000315;NULL;NA;0.323919175;0.353346854;0.343563814;0.410104634;0.420096184;0.332275619;0.450073608;0.39870618;0.515204322;0.381635976;0.366315789;0.520380952;0.206185567;0.393258427;NA;0.304878049;0.144736842;0.142857143;1.201537148;1.586481113;1.47935368;1.199161426;1.128865979;1.215608466;65;27;31;33;22;43;FALSE;FALSE;0.238383206;0.84072429
TIGR00002;1.092592593;1.142746315;1.097951915;1.306191117;1.238515901;1.240833333;1.190631108;S16: ribosomal protein S16;1;1;1;1;1;1;;1;1;1;158;GO:0000314;NULL;NA;0.264195443;0.251950485;0.287511361;0.251300984;0.281840082;0.345801848;0.659896203;0.678531879;0.681971598;0.693375519;0.585887377;0.752630664;0.151898734;0.193939394;NA;0.56284153;NA;NA;1.092592593;1.142746315;1.097951915;1.306191117;1.238515901;1.240833333;106;82;69;102;42;73;FALSE;FALSE;0.302893219;1
TIGR00008;0.522577372;0.691220989;0.571104387;0.618504436;0.628676471;0.460887949;0.594804412;infA: translation initiation factor IF-1;1;1;1;1;1;1;;1;0.000295772;1;169;GO:0003743;NULL;NA;0.344473333;0.338563304;0.358221818;0.326081917;0.397200326;0.331696696;0.686275298;0.550814957;0.492544747;0.566578;0.441053913;0.563092174;0.208333333;0.113043478;0.191919192;NA;0.206521739;0.086956522;0.522577372;0.691220989;0.571104387;0.618504436;0.628676471;0.460887949;104;58;71;86;46;73;FALSE;FALSE;0.161354853;1
TIGR00009;1.049360146;1.242542153;1.225;1.074035454;1.191369606;1.165184244;1.178276925;L28: ribosomal protein L28;1;1;1;1;1;1;;1;0.2724196;0.587770563;158;GO:0000311;NULL;NA;0.318258824;0.33896226;0.352073714;0.299939843;0.330973981;0.28551719;0.581663529;0.651511986;0.507316571;0.580530079;0.543811852;0.654683529;NA;0.089041096;NA;NA;NA;0.078431373;1.049360146;1.242542153;1.225;1.074035454;1.191369606;1.165184244;66;48;33;57;32;45;FALSE;FALSE;0.083736234;1
TIGR00012;1.22135202;1.194489465;1.242424242;1.312873438;1.266423358;1.256643888;1.249534065;L29: ribosomal protein L29;1;1;1;1;1;1;;1;1;1;158;GO:0000315;NULL;NA;0.237114351;0.238976759;0.235431852;0.25354962;0.23711608;0.263215549;0.645950687;0.581790278;0.589348148;0.750168043;0.62883664;0.741090116;0.312977099;NA;NA;0.402173913;0.392;0.115606936;1.22135202;1.194489465;1.242424242;1.312873438;1.266423358;1.256643888;165;97;93;143;67;106;FALSE;FALSE;0.305689487;1
TIGR00013;1.572916667;1.698412698;1.251748252;1.692307692;1.303030303;0.990338164;1.437973485;taut: 4-oxalocrotonate tautomerase family enzyme;0.596181303;0.523766825;1;0.405514413;1;1;;0.115962693;0.789164985;1;184;GO:0006725;NULL;NA;0.505495976;0.6047825;0.532626;0.556716667;0.579627222;0.49258117;0.284552439;0.187500125;0.260317667;0.264516129;0.232638889;0.325918723;NA;0.175;0.133333333;NA;NA;NA;1.572916667;1.698412698;1.251748252;1.692307692;1.303030303;0.990338164;6;3;7;5;4;11;FALSE;FALSE;0.154166667;0.754243757
TIGR04183;1.978869779;1.991614256;1.942307692;1.977344573;1.994807575;1.981769437;1.980319608;Por_Secre_tail: Por secretion system C-terminal sorting domain;3.64E-197;6.42E-99;5.39E-54;1.69E-108;1.28E-37;1.11E-96;5.58595E-97;1;1;1;NA;NA;NA;NA;0.136619833;0.246100765;0.22295752;0.121064834;0.240482739;0.16944502;0.7914399;0.820763286;0.7741462;0.733328957;0.764042391;0.768987255;0.563333333;0.110481586;0.324;0.255924171;0.130434783;0.411764706;1.978869779;1.991614256;1.942307692;1.977344573;1.994807575;1.981769437;660;305;242;468;209;418;FALSE;TRUE;0.299323096;2.13E-38
TIGR00029;1.278846154;1.363636364;1.333333333;1.408227848;1.571428571;1.125668449;1.348484849;S20: ribosomal protein S20;1;1;1;1;1;1;;1;0.912102179;1;158;GO:0000312;NULL;NA;0.460656762;0.454717788;0.435104356;0.390608739;0.685604;0.439859182;0.304029048;0.312869135;0.359264851;0.405405225;0.142857143;0.359659091;0.114285714;0.134615385;NA;NA;NA;0.554545455;1.278846154;1.363636364;1.333333333;1.408227848;1.571428571;1.125668449;13;13;13;17;2;16;FALSE;FALSE;0.267815518;1
TIGR00030;0.773610181;0.910497238;0.886883273;0.843049327;0.973426573;0.942073171;0.898690256;S21p: ribosomal protein S21;1;1;1;1;1;1;;1;0.154968026;0.377355433;158;GO:0000314;NULL;NA;0.251264286;0.295993036;0.288462881;0.233832077;0.268385086;0.281162617;0.59160619;0.595024821;0.597121186;0.652901923;0.59963569;0.552517103;0.371428571;0.214285714;0.338983051;0.276923077;0.336206897;0.523364486;0.773610181;0.910497238;0.886883273;0.843049327;0.973426573;0.942073171;94;62;51;103;42;62;FALSE;FALSE;0.343531966;1
TIGR00043;1.210309278;1.132213294;1.162758621;1.101704233;1.418421053;1.222730242;1.18653395;TIGR00043: probable rRNA maturation factor YbeY;1;1;1;1;1;1;;1;0.590113592;1;136;GO:0008150;NULL;NA;0.181295472;0.232323242;0.219645628;0.194814;0.23308684;0.201341156;0.712130802;0.673051044;0.674244754;0.73078814;0.715381698;0.673988671;0.367924528;0.236263736;0.267759563;0.134883721;0.448113208;0.375722543;1.210309278;1.132213294;1.162758621;1.101704233;1.418421053;1.222730242;161;98;95;124;47;96;FALSE;FALSE;0.305111217;1
TIGR03804;2.348792884;2.41889117;2.491189427;2.457348407;2.568265683;2.426035503;2.441691955;para_beta_helix: parallel beta-helix repeat;8.48E-65;4.27E-46;4.97E-45;4.06E-45;6.76E-26;8.56E-35;4.51672E-45;1;1;1;NA;NA;NA;NA;0.229135909;0.311215449;0.219454063;0.225935957;0.245852222;0.21515625;0.669634148;0.676603146;0.638770313;0.611515603;0.510208974;0.558096953;0.443181818;0.47752809;0.65;0.361702128;0.52991453;0.2890625;2.348792884;2.41889117;2.491189427;2.457348407;2.568265683;2.426035503;90;58;55;64;33;49;FALSE;TRUE;0.458564844;1.13E-26
TIGR02937;1.694290976;1.73137036;1.705142857;1.651463263;1.738416175;1.729990037;1.717566447;sigma70-ECF: RNA polymerase sigma factor. sigma-70 family;6.62E-38;1.03E-40;1.56E-20;1.02E-15;3.94E-07;3.16E-22;7.95916E-21;1;0.54711159;0.920033786;NA;NA;NA;NA;0.167293303;0.190378198;0.16547381;0.114466683;0.143811;0.129512739;0.84385611;0.880491104;0.857585257;0.795427663;0.793317395;0.813806325;0.262385321;0.709390863;0.479004666;0.434673367;0.173684211;0.543429844;1.694290976;1.73137036;1.705142857;1.651463263;1.738416175;1.729990037;600;347;348;497;215;427;FALSE;TRUE;0.433761379;6.57E-08
TIGR04294;2.268817204;2.56147541;2.341121495;2.214527027;2.558375635;2.247474747;2.30496935;pre_pil_HX9DG: prepilin-type processing-associated H-X9-DG domain;7.00E-20;3.18E-29;2.06E-08;3.49E-17;1.94E-09;3.55E-17;3.51807E-17;1;0.148941176;1;NA;NA;NA;NA;0.285437793;0.228382553;0.299157549;0.226441522;0.292850909;0.234074786;0.631499931;0.459574362;0.510456863;0.467663043;0.455883068;0.567307692;0.110344828;NA;NA;0.173913043;0.238636364;0.162393162;2.268817204;2.56147541;2.341121495;2.214527027;2.558375635;2.247474747;33;33;14;37;16;38;FALSE;TRUE;0.171321849;3.76E-09
